business_id,business_name,business_time
042E0117,旅客检索清空按钮,2024-04-01 05:08:00.257
042E0117,旅客检索清空按钮,2024-04-01 05:08:00.481
042E0115,旅客提取页签检索按钮,2024-04-01 05:08:07.933
040O0200,值机页面加载,2024-04-01 05:08:10.370
040O0211,点击座位图刷新,2024-04-01 05:08:11.192
040O0204,旅客处理按钮,2024-04-01 05:08:13.939
040O0204,旅客处理按钮,2024-04-01 05:08:14.303
042E0121,从其他页面返回检索页刷新,2024-04-01 05:08:45.287
042E0117,旅客检索清空按钮,2024-04-01 05:08:46.529
042E0115,旅客提取页签检索按钮,2024-04-01 05:08:50.332
040O0200,值机页面加载,2024-04-01 05:08:53.634
040O0211,点击座位图刷新,2024-04-01 05:08:54.126
040O0204,旅客处理按钮,2024-04-01 05:08:57.042
040O0204,旅客处理按钮,2024-04-01 05:08:57.354
042E0121,从其他页面返回检索页刷新,2024-04-01 05:08:58.516
042E0117,旅客检索清空按钮,2024-04-01 05:08:58.928
042E0105,查询办理历史按钮,2024-04-01 05:08:59.712
042E0105,查询办理历史按钮,2024-04-01 05:09:01.578
042E0188,提取同行人按钮,2024-04-01 05:09:02.650
042E0117,旅客检索清空按钮,2024-04-01 05:09:17.394
042E0117,旅客检索清空按钮,2024-04-01 05:09:18.032
042E0105,查询办理历史按钮,2024-04-01 05:09:18.911
042E0102,旅客查询页签检索按钮,2024-04-01 05:09:30.581
042E0102,旅客查询页签检索按钮,2024-04-01 05:09:35.884
042E0102,旅客查询页签检索按钮,2024-04-01 05:09:39.863
042E0117,旅客检索清空按钮,2024-04-01 05:09:53.637
042E0117,旅客检索清空按钮,2024-04-01 05:09:54.788
042E0117,旅客检索清空按钮,2024-04-01 05:09:55.088
042E0117,旅客检索清空按钮,2024-04-01 05:09:55.314
042E0115,旅客提取页签检索按钮,2024-04-01 05:09:59.172
042E0115,旅客提取页签检索按钮,2024-04-01 05:10:02.236
042E0118,序号输入框选中旅客,2024-04-01 05:10:03.541
040O0200,值机页面加载,2024-04-01 05:10:04.530
040O0211,点击座位图刷新,2024-04-01 05:10:04.952
040O0204,旅客处理按钮,2024-04-01 05:10:09.777
040O0204,旅客处理按钮,2024-04-01 05:10:14.578
040O0288,行李交运按钮,2024-04-01 05:10:18.303
040R0109,行李交运-修改重量按钮,2024-04-01 05:10:24.761
040O0200,值机页面加载,2024-04-01 05:10:25.838
